,Location,location,GHSI,WGI,ï..iso_code,continent.x,Obesity_rate,Death_ParentLocation,Death_SpatialDimValueCode,Period.x,Death_Value,Case_ParentLocation,Case_SpatialDimValueCode,Period.y,Case_Value,continent.y,iso_code,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,date,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,Case_Value_m,Death_Value_m,total_tests_per_thousand_m
1,Afghanistan,Afghanistan,32.3,-0.99,AFG,Asia,5.5,Eastern Mediterranean,AFG,2017,10,Eastern Mediterranean,AFG,2017,161778,Asia,AFG,158245,40,29.714,7367,2,1.571,3972.469,1.004,0.746,184.936,0.05,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,17604,1/5/2022,11.73,NA,NA,NA,442,16593,0.042,19.44,39835428,54.422,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,0.511,NA,NA,NA,NA,0.161778,1.00E-05,NA
2,Albania,Albania,52.9,0.21,ALB,Europe,21.7,Europe,ALB,2017,NA,Europe,ALB,2017,NA,Europe,ALB,212021,0,446,3224,0,1.714,73799.468,0,155.242,1122.198,0,0.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2367574,1160648,1053236,153690,11284,6471,1/5/2022,82.41,40.4,36.66,5.35,2252,2449,0.085,43.52,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA,NA,NA,NA
3,Algeria,Algeria,23.6,-0.98,DZA,Africa,27.4,Africa,DZA,2017,0,Africa,DZA,2017,0,Africa,DZA,220415,462,395.429,6310,7,6.714,4940.199,10.355,8.863,141.427,0.157,0.15,NA,33,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,19000,1/5/2022,28.12,NA,NA,NA,426,8482,0.019,44.44,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,NA,NA,NA,NA,0,0,NA
4,Andorra,Andorra,30.5,1.07,AND,Europe,25.6,Europe,AND,2017,NA,Europe,AND,2017,NA,Europe,AND,25289,487,352.286,141,0,0.143,326925.563,6295.731,4554.202,1822.789,0,1.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,1/5/2022,151.57,NA,NA,NA,NA,NA,NA,59.26,77354,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.868,NA,NA,NA,NA,NA,NA,NA
5,Angola,Angola,25.2,-0.92,AGO,Africa,8.2,Africa,AGO,2017,13967,Africa,AGO,2017,3874892,Africa,AGO,86636,1970,1165.857,1789,11,4.143,2553.103,58.055,34.357,52.721,0.324,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,31461,1/5/2022,34.23,NA,NA,NA,927,19830,0.058,NA,33933611,23.89,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,61.15,0.581,NA,NA,NA,NA,3.874892,0.013967,NA
6,Antigua and Barbuda,Antigua and Barbuda,29,0.62,ATG,North America,18.9,North America,ATG,2017,NA,North America,ATG,2017,NA,North America,ATG,4486,0,32.429,119,0,0.143,45437.971,0,328.464,1205.332,0,1.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,34,1/5/2022,122.71,NA,NA,NA,344,10,0.01,NA,98728,231.845,32.1,6.933,4.631,21490.943,NA,191.511,13.17,NA,NA,NA,3.8,77.02,0.778,NA,NA,NA,NA,NA,NA,NA
7,Argentina,Argentina,58.6,0.57,ARG,South America,28.3,Americas,ARG,2017,1,Americas,ARG,2017,0,South America,ARG,5915695,95159,51350.857,117346,52,33.571,129713.589,2086.554,1125.972,2573.049,1.14,0.736,NA,1396,30.61,NA,NA,NA,NA,NA,NA,181761,28921815,634.169,3.985,125698,2.756,0.495,2,tests performed,NA,NA,NA,NA,NA,305823,1/5/2022,170.41,NA,NA,NA,6706,44033,0.097,37.96,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,76.67,0.845,NA,NA,NA,NA,0,1.00E-06,0.634169
8,Armenia,Armenia,50.2,-0.11,ARM,Asia,20.2,Europe,ARM,2017,NA,Europe,ARM,2017,0,Asia,ARM,345255,129,74,7989,3,2.714,116320.792,43.462,24.932,2691.596,1.011,0.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,5164,2586737,871.505,1.74,4726,1.592,0.0157,63.9,tests performed,NA,NA,NA,NA,NA,4834,1/5/2022,55.94,NA,NA,NA,1629,1370,0.046,NA,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,NA,NA,NA,NA,0,NA,0.871505
9,Aruba,Aruba,NA,1.31,ABW,North America,NA,North America,ABW,2017,NA,North America,ABW,2017,NA,North America,ABW,24210,1162,741.286,181,0,0,225850.086,10840.058,6915.301,1688.512,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,163956,84884,79072,NA,113,36,1/5/2022,152.95,79.19,73.76,NA,336,23,0.021,41.67,107195,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA,76.29,NA,NA,NA,NA,NA,NA,NA,NA
10,Australia,Australia,75.5,1.43,AUS,Oceania,20.1,Oceania,AUS,2017,NA,Oceania,AUS,2017,NA,Oceania,AUS,684229,75426,46129.571,2302,12,11.143,26532.621,2924.824,1788.785,89.266,0.465,0.432,NA,258,10.005,2707,104.97,NA,NA,NA,NA,236073,56078371,2174.573,9.154,234834,9.106,0.1964,5.1,tests performed,43286155,20488662,19832376,2965117,261562,123642,1/5/2022,167.85,79.45,76.9,11.5,4795,8331,0.032,40.28,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,NA,NA,NA,NA,NA,NA,2.174573
